Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
44152572,10/27/19 0:11,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Ferret,Residence,10306,44 GARIBALDI AVENUE,GARIBALDI AVENUE,ROMA AVENUE,CEDAR GROVE AVENUE,ROMA AVENUE,CEDAR GROVE AVENUE,,STATEN ISLAND,GARIBALDI AVENUE,,In Progress,,,,02 STATEN ISLAND,5040870060,STATEN ISLAND,956094,144088,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.56211939,-74.10133371,"(40.562119391371965, -74.10133371113466)"
44162815,10/27/19 14:03,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10304,33 MICHAEL LOOP,MICHAEL LOOP,BEND,BEND,BEND,BEND,,STATEN ISLAND,MICHAEL LOOP,,In Progress,,,,02 STATEN ISLAND,5008360203,STATEN ISLAND,956940,160829,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.60807273,-74.0983566,"(40.60807272548309, -74.09835660319301)"
44179069,10/29/19 20:07,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Monkey,Residence,11422,13 1 STREET,1 STREET,MEYER AVENUE,3 STREET,MEYER AVENUE,3 STREET,,ROSEDALE,1 STREET,,In Progress,,,,13 QUEENS,4139210044,QUEENS,1055959,171095,ONLINE,Unspecified,QUEENS,,,,,,,,40.63600257,-73.74163258,"(40.63600256688124, -73.74163257563917)"
44201040,11/1/19 9:06,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,1-2 Family Dwelling,11209,50 79 STREET,79 STREET,79 STREET,80 STREET,79 STREET,80 STREET,,BROOKLYN,79 STREET,,In Progress,,,,10 BROOKLYN,3059760010,BROOKLYN,974029,168975,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63046799,-74.03682314,"(40.63046798842444, -74.03682314205544)"
44203034,11/1/19 8:02,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10304,33 MICHAEL LOOP,MICHAEL LOOP,BEND,BEND,BEND,BEND,,STATEN ISLAND,MICHAEL LOOP,,In Progress,,,,02 STATEN ISLAND,5008360203,STATEN ISLAND,956940,160829,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.60807273,-74.0983566,"(40.60807272548309, -74.09835660319301)"
44216049,11/2/19 22:46,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Residence,11201,40 WYCKOFF STREET,WYCKOFF STREET,COURT STREET,SMITH STREET,COURT STREET,SMITH STREET,,BROOKLYN,WYCKOFF STREET,,In Progress,,,,02 BROOKLYN,3003900026,BROOKLYN,986420,189411,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68656595,-73.99217558,"(40.686565945331516, -73.99217557580467)"
39606313,6/30/18 13:29,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11209,,Cit,86 STREET,4 AVENUE,86 STREET,4 AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,10 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
41988746,3/18/19 14:51,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
39587642,6/28/18 18:57,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,11106,,,31 STREET,36 AVENUE,31 STREET,36 AVENUE,INTERSECTION,ASTORIA,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
40264721,9/13/18 18:30,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
