OBJECTID,GlobalID,last_edited_date,id,short_name,long_name,direction,rte_type,rte_color,agency_id,agency_nam,gen_date,end_date
5367,{00499E7B-0FFB-4CFF-B44B-0EAC8A0BBA69},2023/03/28 18:27:07+00,,79,Sylvan Hills,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5368,{017426AC-B418-4669-892B-63BE5F62A70D},2023/03/28 18:27:07+00,,35,Peachtree Pkwy - Doraville,,bus,,GCT,Gwinnett County Transit,,
5369,{064ADCCB-0740-47C6-8A8F-7E7D635033AE},2023/03/28 18:27:07+00,,809,Monroe Drive / Boulevard,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5370,{0679266D-9360-4C20-B9B2-9F5790E6AFF4},2023/03/28 18:27:07+00,,153,James Jackson Parkway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5371,{0A37A0DE-D5C6-4B68-9050-028FF69FA031},2023/03/28 18:29:32+00,,419,Snellville/Hewatt/Stone Mtn - DT,,bus,,SRTA,SRTA,,
5372,{0B70171A-4360-4D88-B0B9-091E1520FECC},2023/03/28 18:27:07+00,,26,Marietta Street / Perry Boulevard,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5373,{0CF1337F-C7C2-47E2-A557-535892386BEB},2023/03/28 18:27:07+00,,124,Pleasantdale Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5374,{10360DD1-DA58-4453-9E90-621F03729A30},2023/03/28 18:27:07+00,,71,Cascade Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5375,{11DCF6A6-E93D-4313-82F3-06921A284F07},2023/03/28 18:27:07+00,,126,Embry Hills,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5376,{12C7A662-A0CC-4E35-908C-B9FBAFF6626D},2023/03/28 18:29:32+00,,423,E Conyer/W Conyer/Panola - MT,,bus,,SRTA,SRTA,,
5377,{1568A6FE-1E9E-465F-9D03-330974DBC0B2},2023/03/28 18:27:07+00,,24,Mcafee / Hosea Williams,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5378,{167B21BF-89BA-4FCD-9279-A3F9C8E3714C},2023/03/28 18:27:07+00,,40,KSU-Kennesaw - MTC via Marietta,,bus,,COBBLINC,CobbLinc,,
5379,{171A0976-1DA1-4FBA-A943-54F01E538374},2023/03/28 18:27:07+00,,150,Dunwoody Village,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5380,{173165F4-73C9-40B9-A637-F058D4D953C2},2023/03/28 18:27:07+00,,116,Redan Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5381,{19451E26-8A22-4CFD-9CAA-6166B6384DD2},2023/03/28 18:27:07+00,,45,GGC,,bus,,GCT,Gwinnett County Transit,,
5382,{1B51B23F-0F5E-4195-928B-244BE595D5C6},2023/03/28 18:27:07+00,,180,Roosevelt Highway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5383,{1D508E96-4E1E-4883-9121-2CA75401B0B7},2023/03/28 18:27:07+00,,103A,Rev Commute Atlanta - Sugarloaf Mills,,bus,,GCT,Gwinnett County Transit,,
5384,{1E134575-F56E-4699-8038-77711F022BAF},2023/03/28 18:29:32+00,,413,Hamilton Mill/Mall of GA - DT,,bus,,SRTA,SRTA,,
5385,{1EDD655E-0FCD-4387-AB0D-EAC64F5CF058},2023/03/28 18:27:07+00,,Red,Red,,"subway, metro",,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5386,{1FA535CD-85D0-4B8A-86E1-5CB03DF88724},2023/03/28 18:27:07+00,,60,Hightower Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5387,{225B4F2C-B809-4103-9D0A-FA5444656361},2023/03/28 18:27:07+00,,140,North Point Parkway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5388,{243C2268-B534-4904-B980-09E4AD1C756E},2023/03/28 18:27:07+00,,117,Rockbridge Road / Panola Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5389,{2A1D8315-B1D2-4A44-8EC4-5EFDD05421FC},2023/03/28 18:27:07+00,,1,Marietta Blvd/Joseph E Lowery Blvd,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5390,{2AF87412-7AAE-484A-8F7D-B96FD75D6548},2023/03/28 18:27:07+00,,899,Old Fourth Ward,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5391,{2B7BEEEA-1B37-418E-BF6A-0E3AE333369F},2023/03/28 18:27:07+00,,110,Indian Trail P&R - Emory,,bus,,GCT,Gwinnett County Transit,,
5392,{2BA47CA2-9437-46DB-A627-1A7C5CBAB5FE},2023/03/28 18:27:07+00,,42,Pryor Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5393,{2C7FB6B4-1D1D-42CD-9670-13B6D1229F89},2023/03/28 18:27:07+00,,195,Forest Parkway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5394,{2D5AE1AD-7CA1-464F-A738-4459766E9C1B},2023/03/28 18:27:07+00,,189,Flat Shoals Road / Scofield Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5395,{3103D703-F5CF-4844-8BC1-B3F09802ADDE},2023/03/28 18:27:07+00,,201,Six Flags Over Georgia,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5396,{316A90B5-0613-4179-B31C-981709F56AED},2023/03/28 18:27:07+00,,172,Sylvan Road / Virginia Avenue,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5397,{3414E8F6-FF62-49BE-BA7D-35736D1E408D},2023/03/28 18:27:07+00,,58,Hollywood Road / Lucile Avenue,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5398,{35535773-F03A-4CBD-A717-8CD407DE90AA},2023/03/28 18:27:07+00,,25,Hamilton E. Holmes Station/CTC,,bus,,COBBLINC,CobbLinc,,
5399,{36700833-4751-4F1D-9E66-7DF641B12F81},2023/03/28 18:27:07+00,,Zone 1,PUBLIX Super Market,,bus,,COBBLINC_FLEX,CobbLincFLEX,,
5400,{36B1441D-77C5-480E-8AA7-C73B15EEEAE0},2023/03/28 18:27:07+00,,93,Headland Drive / Main Street,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5401,{37120E44-E8F4-442E-A354-E166CB70B892},2023/03/28 18:27:07+00,,867,Peyton Forest / Dixie Hills,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5402,{3A380FD1-ADCC-4A1C-8946-357535378C70},2023/03/28 18:27:07+00,,Atlsc,Atlanta Streetcar,,"tram, light rail, streetcar",,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5403,{3B9755C2-007D-4134-AC93-E19A27E2307A},2023/03/28 18:27:07+00,,295,Metropolitan Campus Express,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5404,{3C03B62A-3487-4217-84B1-5B9725518636},2023/03/28 18:27:07+00,,14,14th Street / Blandtown,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5405,{3C688EC0-B4CB-4E0E-8B87-197411F8DB85},2023/03/28 18:27:07+00,,102,North Avenue / Little Five Points,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5406,{3CDC6500-6894-4EA9-9415-0AAE1B9E7D6E},2023/03/28 18:27:07+00,,181,Washington Road / Fairburn,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5407,{3CDEE8D0-F62C-4BA5-B451-474CBA3555C0},2023/03/28 18:27:07+00,,6,Clifton Road / Emory,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5408,{403D8E8B-277E-4B1C-9E5B-518D517E9649},2023/03/28 18:27:07+00,,148,Mount Vernon Highway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5409,{40B955D1-D9E8-460C-9DFD-25003657DEAE},2023/03/28 18:27:07+00,,104,Winters Chapel Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5410,{41798F4A-0AC3-4F03-A7E9-45424CA057A0},2023/03/28 18:27:07+00,,Green,Green,,"subway, metro",,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5411,{45FB1DDE-6420-45A5-8EC7-9CDA713354E5},2023/03/28 18:27:07+00,,34,Gresham Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5412,{473D03E1-81C9-4F5F-9731-D8A421D17071},2023/03/28 18:27:07+00,,178,Empire Blvd / Southside Ind Park,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5413,{4E2CEA87-8FEE-4C64-9FCC-7FFE78D82AA6},2023/03/28 18:27:07+00,,832,Grant Park,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5414,{4E6C0A6C-9C41-4125-A820-AD58243E9116},2023/03/28 18:27:07+00,,191,Riverdale / Atl Intl Terminal,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5415,{5258F395-5896-45DE-9551-9C437DA8C6E0},2023/03/28 18:27:07+00,,185,Alpharetta,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5416,{53517C98-FDF6-45DD-858F-D96A802F3048},2023/03/28 18:27:07+00,,143,Windward Park & Ride,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5417,{539E98DF-6FB1-40E8-B023-3669F7516A85},2023/03/28 18:27:07+00,,Zone 2,Horseshoe Bend Pizza,,bus,,COBBLINC_FLEX,CobbLincFLEX,,
